City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
17,Kapaa,US,82.4,moderate rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
18,Kloulklubed,PW,86.0,overcast clouds,7.04,134.26,Storyboard Beach Resort
34,Butaritari,KI,81.61,overcast clouds,3.07,172.79,Isles Sunset Lodge
36,Galesong,ID,87.69,few clouds,-5.32,119.37,Sapriadi Appy
43,Victoria Point,AU,87.01,clear sky,-27.58,153.3,Bay Retreat Motel
49,Ahuimanu,US,82.4,scattered clouds,21.44,-157.84,Paradise Bay Resort
57,Aquiraz,BR,80.6,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
69,Kimbe,PG,87.13,moderate rain,-5.55,150.14,Kimbe Bay Hotel
79,Isangel,VU,82.63,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
80,Bengkulu,ID,83.1,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
83,Hithadhoo,MV,83.01,clear sky,-0.6,73.08,Scoop Guest House
84,Kahului,US,91.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
90,Kuala Lipis,MY,80.82,overcast clouds,4.18,102.05,Lipis Centrepoint Hotel
98,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
107,The Valley,AI,82.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
109,Port Moresby,PG,87.8,broken clouds,-9.44,147.18,Lamana Hotel
115,Namatanai,PG,84.34,moderate rain,-3.67,152.43,Namatanai Hotel
116,Kawalu,ID,83.17,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
119,Hilo,US,86.0,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
138,Palu,ID,91.27,overcast clouds,-0.89,119.87,Hotel Santika Palu
143,Pangai,TO,80.6,few clouds,-19.8,-174.35,Ha'apai Beach Resort
149,Bucerias,MX,82.4,clear sky,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
159,Pandan,PH,82.2,moderate rain,14.05,124.17,Bonifacio Lodge
161,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
171,Amahai,ID,85.21,few clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
172,Airai,TL,81.5,few clouds,-8.93,125.41,Juvinal Martin
180,Kavaratti,IN,82.72,moderate rain,10.57,72.64,Hotels in Lakshadweep Islands
181,Nong Khai,TH,80.01,overcast clouds,17.92,103.08,สุริยา
183,Simpang,ID,81.09,moderate rain,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
185,Bowen,AU,87.8,clear sky,-20.02,148.23,Castle Motor Lodge Motel
188,Karratha,AU,97.65,clear sky,-20.74,116.85,ibis Styles Karratha
195,Mount Isa,AU,98.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
201,Ternate,ID,84.58,light rain,0.8,127.4,Grand Dafam Bela Ternate
202,Thinadhoo,MV,82.96,clear sky,0.53,72.93,
214,Alofi,NU,80.6,shower rain,-19.06,-169.92,Taloa Heights
219,Bubaque,GW,83.73,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
220,Savannah Bight,HN,81.05,moderate rain,16.45,-85.85,Villa on Dunbar Rock
228,Bolitoc,PH,84.58,overcast clouds,15.74,119.88,Seasun Beach Resort & Hotel
230,Ambon,ID,83.91,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
241,Cockburn Town,TC,81.79,overcast clouds,21.46,-71.14,Osprey Beach Hotel
271,Gorontalo,ID,89.33,clear sky,0.54,123.06,Maqna Hotel by Prasanthi
278,Denpasar,ID,85.3,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
281,Douentza,ML,80.01,broken clouds,15.0,-2.95,Ogomono Doumbo
285,Meulaboh,ID,80.73,broken clouds,4.14,96.13,Kost Pria
286,San Borja,BO,80.78,overcast clouds,-14.82,-66.85,
292,Boyolangu,ID,84.65,broken clouds,-8.12,111.89,Yos ega cv
294,Kudahuvadhoo,MV,82.08,few clouds,2.67,72.89,Kudahuvadhoo Retreat
299,Padang,ID,83.35,overcast clouds,-0.95,100.35,Mercure Padang
318,Cabo San Lucas,MX,80.6,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
331,Kulhudhuffushi,MV,81.79,clear sky,6.62,73.07,Haajy Guest House 1
332,Buala,SB,86.77,light rain,-8.14,159.59,Maringe Lagoon Lodge
334,Geraldton,AU,87.8,clear sky,-28.77,114.6,Broadwater Mariner Resort
343,Mazatlan,MX,80.01,clear sky,23.22,-106.42,Gaviana Resort
352,Blackwater,AU,92.64,clear sky,-23.58,148.88,Blackwater Motor Inn
355,Barao De Melgaco,BR,84.2,clear sky,-16.19,-55.97,Tuiuiu Pantanal Hotel
371,Haapiti,PF,80.6,broken clouds,-17.57,-149.87,Linareva Moorea Beach Resort
380,Port Blair,IN,83.16,light rain,11.67,92.75,Fortune Resort Bay Island
389,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
409,Benjamin Constant,BR,82.4,clear sky,-4.38,-70.03,CASA AVALIADA
424,San Andres,CO,82.38,moderate rain,12.58,-81.7,Hotel Arena Blanca
431,Olinda,BR,80.6,broken clouds,-8.01,-34.86,Hotel 5 Sóis
439,Payo,ID,81.14,heavy intensity rain,-3.75,103.64,Mess keban agung
446,Lorengau,PG,84.65,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
452,Kavieng,PG,81.23,light rain,-2.57,150.8,Nusa Island Retreat
454,Palauig,PH,84.24,overcast clouds,15.44,119.9,Myhousebythesea
468,Sorong,ID,83.8,light rain,-0.88,131.25,The Waigo Hotel
470,Kerema,PG,82.58,light rain,-7.96,145.78,Elore Lodge
495,Altamira,BR,80.02,scattered clouds,-3.2,-52.21,Requinte Hotel
513,Pasir Gudang,MY,82.4,clear sky,1.46,103.88,Swan Garden Hotel
525,Labuhan,ID,85.98,broken clouds,-6.88,112.21,bador sepret
532,Papara,BR,81.0,scattered clouds,-3.98,-38.73,Bela vista Maranguape
536,Sapa,PH,83.1,moderate rain,5.15,120.32,
545,North Las Vegas,US,82.4,clear sky,36.2,-115.12,Plaza Hotel & Casino
546,Kampot,KH,84.2,clear sky,10.62,104.18,Champa Lodge
550,Tombouctou,ML,80.35,clear sky,20.0,-3.0,
559,Nhulunbuy,AU,87.8,scattered clouds,-12.23,136.77,East Arnhem Real Estate
573,Waingapu,ID,88.52,clear sky,-9.66,120.26,Pondok Wisata Elim
575,Gorom-Gorom,BF,82.69,overcast clouds,14.44,-0.24,Mairie de Rambo
584,Ballina,AU,90.0,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
589,Tual,ID,83.03,scattered clouds,-5.67,132.75,Grand Vilia Hotel
598,Dhidhdhoo,MV,81.73,clear sky,6.88,73.1,Dhidhoo beach
601,Gizo,SB,84.33,moderate rain,-8.1,156.84,Imagination Island
602,Banda Aceh,ID,82.18,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
610,Charters Towers,AU,91.49,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
