City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Madison Heights,US,42.49,-83.11,64.4,48,1,10.29,clear sky
1,Ahipara,NZ,-35.17,173.17,65.43,94,96,8.41,overcast clouds
2,Norman Wells,CA,65.28,-126.83,-16.6,75,40,2.24,scattered clouds
3,Sinnamary,GF,5.38,-52.95,79.32,86,99,9.1,moderate rain
4,Caravelas,BR,-17.71,-39.25,71.29,94,100,4.74,heavy intensity rain
5,Punta Arenas,CL,-53.15,-70.92,46.4,87,90,10.29,light rain
6,Camacari,BR,-12.7,-38.32,77.0,94,75,11.41,shower rain
7,Ulladulla,AU,-35.35,150.47,53.6,93,75,10.29,light rain
8,Tasiilaq,GL,65.61,-37.64,30.2,50,87,14.99,overcast clouds
9,Vaini,TO,-21.2,-175.2,80.6,74,40,13.87,scattered clouds
10,Bristol,US,41.83,-71.17,55.0,71,1,4.7,clear sky
11,Rikitea,PF,-23.12,-134.97,73.54,68,22,10.56,few clouds
12,Lubango,AO,-14.92,13.49,61.23,47,0,4.81,clear sky
13,Polis,CY,35.04,32.43,53.6,76,0,5.82,clear sky
14,Hermanus,ZA,-34.42,19.23,66.0,88,100,8.99,light rain
15,Castro,BR,-24.79,-50.01,51.58,94,92,11.72,overcast clouds
16,Jamestown,US,42.1,-79.24,55.99,47,1,11.41,clear sky
17,Kapaa,US,22.08,-159.32,82.4,78,20,10.29,moderate rain
18,Kloulklubed,PW,7.04,134.26,86.0,70,90,4.7,overcast clouds
19,Vila Franca Do Campo,PT,37.72,-25.43,57.2,87,40,12.75,scattered clouds
20,Albany,US,42.6,-73.97,51.8,53,1,11.41,clear sky
21,Puerto Ayora,EC,-0.74,-90.35,70.0,81,99,7.0,overcast clouds
22,Colesberg,ZA,-30.72,25.1,63.39,58,92,12.46,overcast clouds
23,Lubu,CN,23.17,112.28,75.99,99,0,3.85,clear sky
24,Victoria,HK,22.29,114.16,73.0,66,0,5.01,clear sky
25,Port Alfred,ZA,-33.59,26.89,68.25,86,100,12.88,overcast clouds
26,Gat,IL,31.61,34.76,71.01,100,79,4.0,light rain
27,Busselton,AU,-33.65,115.33,68.0,39,0,7.27,clear sky
28,Mahebourg,MU,-20.41,57.7,69.8,88,75,2.24,light intensity shower rain
29,Qaanaaq,GL,77.48,-69.36,-2.51,88,100,3.87,overcast clouds
30,Hasaki,JP,35.73,140.83,63.0,58,20,8.05,few clouds
31,Touros,BR,-5.2,-35.46,78.8,83,20,9.17,few clouds
32,Sambava,MG,-14.27,50.17,69.37,83,26,7.7,scattered clouds
33,Mataura,NZ,-46.19,168.86,57.0,81,100,10.0,overcast clouds
34,Butaritari,KI,3.07,172.79,81.61,71,100,8.48,overcast clouds
35,Deep River,CA,46.1,-77.5,44.6,75,1,6.93,clear sky
36,Galesong,ID,-5.32,119.37,87.69,60,23,3.94,few clouds
37,Barrow,US,71.29,-156.79,26.6,79,40,18.34,light snow
38,Nizhneivkino,RU,58.19,49.52,38.71,94,100,7.67,overcast clouds
39,Axim,GH,4.87,-2.24,78.55,86,100,4.88,light rain
40,Cherskiy,RU,68.75,161.3,8.87,95,100,7.56,light snow
41,Nikolskoye,RU,59.7,30.79,44.01,87,90,11.18,light intensity shower rain
42,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,77.04,83,0,8.7,clear sky
43,Victoria Point,AU,-27.58,153.3,87.01,63,0,4.0,clear sky
44,Ilebo,CD,-4.32,20.58,70.68,96,74,1.95,light rain
45,Lompoc,US,34.64,-120.46,62.6,72,1,10.29,clear sky
46,Ushuaia,AR,-54.8,-68.3,55.4,58,0,5.82,clear sky
47,Chokurdakh,RU,70.63,147.92,-12.3,91,28,5.35,scattered clouds
48,Tuktoyaktuk,CA,69.45,-133.04,8.6,84,75,12.75,broken clouds
49,Ahuimanu,US,21.44,-157.84,82.4,69,40,5.82,scattered clouds
50,Yellowknife,CA,62.46,-114.35,1.99,84,75,8.05,light snow
51,Crotone,IT,39.09,17.12,61.93,78,60,5.88,broken clouds
52,Souillac,MU,-20.52,57.52,69.8,88,75,2.24,light intensity shower rain
53,Port-Gentil,GA,-0.72,8.78,77.52,87,100,2.86,overcast clouds
54,Ifakara,TZ,-8.13,36.68,70.54,81,52,3.6,broken clouds
55,Gustavo Diaz Ordaz,MX,26.23,-98.58,75.0,68,0,5.99,clear sky
56,Iqaluit,CA,63.75,-68.51,1.4,70,20,5.82,few clouds
57,Aquiraz,BR,-3.9,-38.39,80.6,83,40,8.05,scattered clouds
58,Kodiak,US,57.79,-152.41,30.2,42,20,20.8,few clouds
59,Odweyne,SO,9.41,45.06,66.65,37,98,0.31,overcast clouds
60,Saldanha,ZA,-33.01,17.94,60.8,87,100,10.29,overcast clouds
61,Saint-Philippe,RE,-21.36,55.77,68.0,63,20,5.82,few clouds
62,Vredendal,ZA,-31.67,18.5,62.55,83,100,6.26,overcast clouds
63,Guerrero Negro,MX,27.98,-114.06,70.79,67,0,11.59,clear sky
64,Bethel,US,41.37,-73.41,53.6,71,1,9.17,clear sky
65,Tongchuan,CN,35.08,109.09,51.62,76,100,0.92,overcast clouds
66,Ritchie,ZA,-29.04,24.6,59.0,93,100,8.05,overcast clouds
67,Asau,RO,46.43,26.4,37.99,94,100,2.75,overcast clouds
68,Avarua,CK,-21.21,-159.78,75.2,78,100,6.93,light rain
69,Kimbe,PG,-5.55,150.14,87.13,70,100,4.41,moderate rain
70,Atuona,PF,-9.8,-139.03,78.94,76,0,20.69,clear sky
71,Alpena,US,45.06,-83.43,64.4,39,1,11.41,clear sky
72,Lebu,CL,-37.62,-73.65,49.3,84,0,5.08,clear sky
73,Launceston,AU,-41.45,147.17,64.0,41,0,6.93,clear sky
74,Acari,PE,-15.43,-74.62,65.16,67,57,3.78,broken clouds
75,Goderich,CA,43.75,-81.72,62.6,51,0,18.34,clear sky
