City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2020-11-04 03:19:14,-33.93,18.42,66.99,72,0,13.87
1,Kinablangan,PH,2020-11-04 03:21:03,7.69,126.55,84.36,70,43,4.72
2,Khatanga,RU,2020-11-04 03:21:03,71.97,102.5,-0.53,93,96,6.11
3,Sinnamary,GF,2020-11-04 03:21:03,5.38,-52.95,79.29,88,96,9.69
4,Rikitea,PF,2020-11-04 03:14:39,-23.12,-134.97,72.68,80,23,18.79
5,Fare,PF,2020-11-04 03:16:14,-16.7,-151.02,80.62,78,100,19.26
6,Tasiilaq,GL,2020-11-04 03:14:51,65.61,-37.64,32.0,94,100,32.21
7,Tuktoyaktuk,CA,2020-11-04 03:14:36,69.45,-133.04,12.2,85,90,9.17
8,Opuwo,NA,2020-11-04 03:21:04,-18.06,13.84,62.26,34,0,1.97
9,Hobart,AU,2020-11-04 03:18:10,-42.88,147.33,71.6,40,75,18.34
10,Mataura,NZ,2020-11-04 03:21:04,-46.19,168.86,66.99,56,25,11.01
11,East London,ZA,2020-11-04 03:21:04,-33.02,27.91,67.64,90,39,6.24
12,Saint George,US,2020-11-04 03:21:05,37.1,-113.58,69.8,35,1,4.7
13,Albany,US,2020-11-04 03:20:03,42.6,-73.97,32.0,80,0,1.86
14,Nagorsk,RU,2020-11-04 03:21:05,59.32,50.81,31.37,98,5,9.37
15,Limbang,MY,2020-11-04 03:21:05,4.75,115.0,86.0,70,75,4.7
16,Aktau,KZ,2020-11-04 03:21:06,43.65,51.2,50.0,87,99,6.71
17,Hermanus,ZA,2020-11-04 03:21:06,-34.42,19.23,66.0,90,93,4.0
18,Atuona,PF,2020-11-04 03:21:06,-9.8,-139.03,78.35,75,49,21.05
19,Annau,TM,2020-11-04 03:21:06,37.89,58.52,48.2,45,0,2.24
20,Airai,TL,2020-11-04 03:15:20,-8.93,125.41,82.31,32,97,5.48
21,Hamilton,US,2020-11-04 03:15:03,39.18,-84.53,50.0,75,1,5.64
22,Verona,IT,2020-11-04 03:21:07,45.42,11.03,55.4,93,86,2.24
23,San Cristobal,VE,2020-11-04 03:14:56,7.77,-72.22,67.42,92,99,1.79
24,Godfrey,US,2020-11-04 03:21:07,38.96,-90.19,57.99,62,1,9.17
25,Chicama,PE,2020-11-04 03:17:17,-7.84,-79.15,61.9,83,14,3.11
26,Lebu,CL,2020-11-04 03:15:03,-37.62,-73.65,52.93,84,71,3.33
27,Polyarnyy,RU,2020-11-04 03:15:31,69.2,33.45,32.0,83,0,2.24
28,Ushuaia,AR,2020-11-04 03:21:08,-54.8,-68.3,51.8,50,75,13.87
29,Punta Arenas,CL,2020-11-04 03:13:51,-53.15,-70.92,44.6,93,90,11.41
30,Busselton,AU,2020-11-04 03:14:53,-33.65,115.33,63.0,63,57,5.99
31,Esperance,AU,2020-11-04 03:15:06,-33.87,121.9,62.6,63,75,13.87
32,Norman Wells,CA,2020-11-04 03:14:38,65.28,-126.83,-0.4,84,75,2.24
33,Perth,AU,2020-11-04 03:21:08,-31.93,115.83,75.0,46,75,16.11
34,Lata,PT,2020-11-04 03:14:55,40.16,-8.33,52.0,82,0,7.0
35,Huarmey,PE,2020-11-04 03:14:58,-10.07,-78.15,62.56,85,8,7.34
36,Evensk,RU,2020-11-04 03:21:09,61.95,159.23,28.49,97,100,22.57
37,Lorengau,PG,2020-11-04 03:14:46,-2.02,147.27,85.01,74,90,5.28
38,Husavik,IS,2020-11-04 03:16:07,66.04,-17.34,42.8,56,0,21.92
39,Port Alfred,ZA,2020-11-04 03:14:40,-33.59,26.89,68.4,89,96,6.51
40,Kodiak,US,2020-11-04 03:21:09,57.79,-152.41,26.6,42,1,5.82
41,Port Hedland,AU,2020-11-04 03:14:50,-20.32,118.57,93.2,44,0,13.87
42,Tanout,NE,2020-11-04 03:21:10,14.97,8.89,75.15,20,100,13.51
43,Butaritari,KI,2020-11-04 03:14:46,3.07,172.79,81.7,72,88,15.77
44,Eenhana,NA,2020-11-04 03:21:10,-17.47,16.33,68.0,30,0,5.88
45,Puerto Ayora,EC,2020-11-04 03:21:10,-0.74,-90.35,68.0,95,88,5.01
46,Port Lincoln,AU,2020-11-04 03:14:43,-34.73,135.87,58.77,63,100,17.98
47,Da Lat,VN,2020-11-04 03:21:10,11.95,108.44,71.56,66,100,3.2
48,Beaverlodge,CA,2020-11-04 03:21:11,55.22,-119.44,33.8,87,75,6.93
